main_category,productId,retailerProductId,name,price_eur,price_per_kg_eur,categoryPath,brand,available,maxQuantityReached,featured,guaranteed_life_quantity,guaranteed_life_unit,size_value,attributes_labels,image_src
Nos recettes,d889add0-aef4-411c-8793-a78ec6e62e71,MPX_969528,Monoprix Yaourt à la grecque 4x150g,1.89,3.15,"['Nos sélections', 'Inspiration du moment', '& Sélection petit déjeuner', 'Produits laitiers et œufs']",Monoprix,True,False,false,1.0,WEEK,4 x 150g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/b10c1ee4-24ee-4e02-b5b4-01247cd7f7d8/300x300.jpg
Nos recettes,df0750a8-d8ae-4bbc-a7b1-20f987cc3a73,MPX_4055282,Natoora Tomate Ronde Pleine Terre - 500gr,3.49,6.98,"['Fruits & Légumes', 'Natoora le Primeur', 'Légumes, Salades et Herbes']",Natoora,True,False,false,4.0,DAY,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/7938a15b-8727-43c7-8334-b00918df5c68/300x300.jpg
Nos recettes,efad3175-83c3-4b38-9437-9e867f58a440,MPX_127272,Monoprix Crème Fluide Légère Stérilisée 3x20cl,1.93,3.22,"['Nos sélections', 'Inspiration du moment', '& Frigo vide', 'Produits laitiers et Œufs']",Monoprix,True,False,false,1.0,MONTH,3 x 20cl,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/901def68-0f4c-409b-a8af-d4e897d574fc/300x300.jpg
Nos recettes,6653c262-3ece-4a2f-8a69-69dcea880eff,MPX_3740943,Instant Bio Courgette Bio 500g,2.99,5.98,"['Fruits & Légumes', 'Légumes Frais', 'Aubergines, Courgettes et Poivrons', 'Courgette']",Instant Bio,True,False,false,2.0,DAY,500g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/7ab5da70-41b8-438f-9a34-22acfa5929ca/300x300.jpg
Nos recettes,64a3ac4c-3141-431a-80ed-203ec8783693,MPX_1419906,Monoprix Gourmet Filets de Poulet Fermier x2 300g,7.26,26.39,"['Boucherie et Volaille', 'Volaille', 'Poulet']",Monoprix Gourmet,True,False,false,3.0,DAY,275,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/2ba25e2c-2ab0-48d8-a0bf-49c5806a3854/300x300.jpg
Nos recettes,52bf6447-1b2c-4bd3-b07c-0c114d9552e9,MPX_1179095,Président Bûche Fondante De Chèvre 180g,2.85,15.83,"['Produits Laitiers, Œufs et Fromages', 'Fromages à déguster, à la coupe', 'Chèvre et Brebis']",Président,True,False,false,1.0,WEEK,180g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/ca76e9a3-bbc0-4e9c-aff4-2ac6d3896f18/300x300.jpg
Nos recettes,7182b542-ca46-4ed0-85b9-b57cf56da75d,MPX_79592,Yaos Yaourt À La Grecque Nature 4x150g,2.59,4.32,"['Produits Laitiers, Œufs et Fromages', 'Yaourts', 'Yaourts natures']",Nestlé,True,False,false,1.0,WEEK,4 x 150g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/487f7a17-5c13-4394-9486-518e8179ab49/300x300.jpg
Nos recettes,0483de57-a85d-4e1f-9a2b-e9a121842fed,MPX_1334846,Monoprix Bio Huile d'Olive Vierge Extra 750ml,8.99,11.99,"['Nos recettes', 'Recettes du Monde', '& Ceviche de Dorade Polenta']",Monoprix Bio,True,False,false,2.0,MONTH,750ml,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/111c0b78-b6cb-4d81-9e63-5f2c0b4006ab/300x300.jpg
Nos recettes,48a6e084-a378-40b3-8d48-4572d35f9c1c,MPX_1258012,Barilla pates linguine collezione 500g,1.59,3.18,"['Epicerie Salée', 'Pâte, Riz, Céréale et Purée', 'Pâtes', 'Pâtes courtes']",Barilla,True,False,false,6.0,MONTH,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/88861933-bd87-4321-a9ea-d6827d3e59ba/300x300.jpg
Nos recettes,50687fd4-409a-4479-84b4-59764c4ec6e6,MPX_3232463,Monoprix Sucre Blanc en Poudre 750g,1.59,2.12,"['Nos sélections', 'Inspiration du moment', '& Frigo vide', 'Epicerie sucrée']",Monoprix,True,False,false,2.0,MONTH,750g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/ad1a768f-2dcf-4086-a859-7a0e6b13255f/300x300.jpg
Nos recettes,5082e18b-b945-4f51-8fd6-50a2c1695d52,MPX_1546109,Elle&vire Crème De Normandie Épaisse Légère 12% M.G.. 33cl,2.09,6.33,"['Produits Laitiers, Œufs et Fromages', 'Crèmes et Chantilly', 'Crème fraîche']",Elle & vire,True,False,false,2.0,WEEK,330ml,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/2afac2bb-a7a8-42c7-af93-a7689bb4ab3b/300x300.jpg
