id,stock,available,title,packaging,brand,product_price,crossed_out_price,unit_price,kilo_litre_price,category
109338,13,True,Création - Chocolat Rocher noir,0.15,Lindt,3.14,,20.93,,Promotions
62750,8,True,Excellence - Chocolat noir framboise intense,la tablette de 100 g,Lindt,2.29,,22.9,,Promotions
92810,11,True,Edulcorant en morceaux Stévia Zéro calorie,La boîte 65 morceaux  - 130g,Pure Via,6.28,,48.31,,Promotions
82800,7,True,Lindor - Chocolat au lait,La tablette de 150g,Lindt,2.96,,19.73,,Promotions
109340,6,True,Création - Chocolat au lait Praliné feuilleté croustillant,0.15,Lindt,3.14,,20.93,,Promotions
6626,5,True,Barres céréales abricot,la boite de 6 barres - 126 g,"Chabrior, une marque Intermarché",2.26,,17.94,,Promotions
87261,4,True,Pancakes au lait frais,les 8 pancakes de 35g - 280g,Le Ster,2.68,,9.57,,Promotions
40279,6,True,Confiture extra pêches,le pot de 370 g,"Paquito, une marque Intermarché",1.95,,5.27,,Promotions
92811,3,True,Stick Stévia Zéro calorie,Les 40 sachets - 60g,Pure Via,3.7,,61.67,,Promotions
12280,8,True,Ma pâte à crêpes,la boîte de 380g,Francine,2.12,,5.58,,Promotions
41292,2,True,Confiture de fraises cuite aux pommes et au chaudron,le pot de 320 g,Lucien Georgelin,2.69,,8.41,,Promotions
109336,7,True,Création - Chocolat au lait La Crème brûlée,0.15,Lindt,3.04,,20.27,,Promotions
88684,15,True,Excellence - Chocolat noir corsé 78% cacao,la tablette de 100 g,Lindt,2.55,,25.5,,Promotions
232453,10,True,Capsules de café compatibles Nespresso Brazil,la boîte de 10 capsules,Nescafé Farmers Origines,3.33,,75.68,,Promotions
109292,12,True,Création - Chocolat Rocher lait,0.15,Lindt,3.09,,20.6,,Promotions
82799,16,True,Lindor - Chocolat noir,La tablette de 150g,Lindt,3.12,,20.8,,Promotions
153859,5,True,Excellence - Chocolat noir sel rose de l'Himalaya,la tablette de 100 g,Lindt,2.73,,27.3,,Promotions
232452,7,True,Capsules de café compatibles Nespresso Colombia,la boîte de 10 capsules,Nescafé Farmers Origines,3.39,,77.05,,Promotions
138532,3,True,Purée de pommes à la vanille BIO sans sucres ajoutés,pot ,WeBio !,3.72,,5.9,,Promotions
231282,5,True,Capsules de café compatibles Nespresso Farmers Origin Colombia décaféiné,la boîte de 1 capsules - 53g,Nescafé,3.4,,64.15,,Promotions
233590,4,True,Capsules de café compatibles Nespresso Africas ristretto,la boîte de 10 capsules - 44g,Nescafé,3.34,,75.91,,Promotions
233898,5,True,Capsules de café compatibles Nespresso India espresso,la boîte de 10 capsules - 44g,Nescafé,3.45,,78.41,,Promotions
41291,4,True,Préparation d'abricots cuite au chaudron,le pot de 320 g,Lucien Georgelin,2.7,,8.44,,Promotions
2628,8,True,Mayonnaise,le pot de 470 g,"Bouton d’Or, une marque Intermarché",1.65,,3.51,,Promotions
88203,2,True,Lait de coco,la brique de 200 ml,Suzi Wan,1.25,,6.25,,Promotions
17697,6,True,Velouté tomates & basilic,la brique de 1 l,"St Eloi, une marque Intermarché",1.32,,1.32,,Promotions
14953,4,True,Velouté de légumes,les 2 briques de 30 cl,"St Eloi, une marque Intermarché",1.4,,2.33,,Promotions
14580,16,True,Lentilles blondes,la boite de 500 g,"St Eloi, une marque Intermarché",2.14,,4.28,,Promotions
