productId,available,name,size_value,brand,price_eur,price_per_kg_eur,main_category
12412,True,Huile de friture,la bouteille de 2 l,"Bouton d’Or, une marque Intermarché",4.55,2.28,Epicerie-Salée
126873,True,Bouillon cubes légumes -25% de sel,la boite de 12 - 120 g,Maggi,2.09,17.42,Epicerie-Salée
76871,True,Saveur d'Asie - Cup Nouilles saveur poulet,la boite de 65 g,"Itinéraire des Saveurs, une marque Intermarché",1.31,20.15,Produits-du-monde
57638,True,Saveur d'Asie - Nouilles chinoises saveur crevettes,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.76,9.03,Produits-du-monde
111584,True,Bouillon cubes boeuf dégraissé,la boite de 12 - 120 g,Maggi,2.02,16.83,Epicerie-Salée
8667,True,Champignons noirs déshydratés,la boite de 25 g,"Itinéraire des Saveurs, une marque Intermarché",3.02,120.8,Epicerie-Salée
3804,True,Purée de piments,le pot de 100 g,"Itinéraire des Saveurs, une marque Intermarché",1.56,15.6,Epicerie-Salée
176288,True,Spaghetto quadrato,le paquet de 500g,La Molisana,1.96,3.92,Epicerie
43839,True,Langue de bœuf sauce madère,la boite de 410 g,Larzul,9.74,23.76,Boucherie
111582,True,Bouillon cubes pot au feu dégraissé,la boite de 12 cubes - 120 g,Maggi,1.95,16.25,Epicerie-Salée
212219,True,Nouilles ramen précuites au curry jaune,Les 2 sachets de 160g - 320g,Suzi Wan,3.69,11.53,Epicerie-Salée
141193,True,"Langue de bœuf - moutarde à l'ancienne, échalotes et sel de Guérande",la boîte de 410g,Larzul,8.68,21.17,Charcuterie
141194,True,"Langue de boeuf - compotée de tomates, piment d'espelette et sel de Guérande",la boîte de 410g,Larzul,8.91,21.73,Charcuterie
233861,True,Filets de merlu blanc MSC panés,la barquette de 200g,Cité Marine,3.99,19.95,Produits
393,True,Coq 'Ailes nature,le sachet de 250 g,Maître Coq,3.4,13.6,Boucherie-et-Volaille
27255,True,Saumon fumé Norvège,la barquette de 4 tranches - 150 g,"Capitaine Cook, une marque Intermarché",7.26,48.4,Produits-du-monde
73917,True,La Brandade de morue parmentière,la barquette de 750g,Maison Briau,8.79,11.72,Epicerie-Salée
73901,True,Encornets farcis aux légumes du soleil,la barquette de 600g,Maison Briau,8.49,14.15,Epicerie-Salée
99878,True,Frites côté brasserie,le sachet de 650g,McCain,2.45,3.77,Epicerie-Salée
99879,True,Frites côté resto,le sachet de 650g,McCain,2.45,3.77,Epicerie-Salée
90691,True,Nuggets de poulet,le sachet de 1kg,Maître Coq,7.67,7.67,Boucherie-et-Volaille
181353,True,Ristorante - Pizza 4 fromages,La pizza de 340g,Ristorante,3.13,9.21,Epicerie-Salée
